id;date;advertiser;client;affiliate;tags_id;stats_countrycode;stats_model;name;link;status
102;2021-08-18 14:23:23;Advertise;ABACUS MARKETING SL;Natalia;1;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.6""}]";La Pepite du Net;https://jp.lapepitedunet.eu?h=bf73f98722672963db40f9c16d224a43&emailmd5=*[subscriber_email_md5]*&utm_source=lpdn-jp&utm_medium=CPC&utm_term=coffee&countkey=FR&dbid=10894&adv=L_OR_Espresso&brd=Vente_flash&clt=mailomedia&trm=Leo;success
103;2021-08-18 14:27:01;Advertise;ABACUS MARKETING SL;Natalia;1;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";La Pepite du Net;https://jp.lapepitedunet.eu?h=bf73f98722672963db40f9c16d224a43&emailmd5=*[subscriber_email_md5]*&utm_source=lpdn-jp&utm_medium=CPC&utm_term=coffee&countkey=FR&dbid=10894&adv=L_OR_Espresso&brd=Vente_flash&clt=mailomedia&trm=Leo;success
104;2021-08-18 15:25:47;Advertise;ACAI;Andrea Navarro;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Une Proposition;https://kr.lapepitedunet.eu/jp?h=3bc07631c1a883a5622e9c9eef938463&emailmd5=*[subscriber_email_md5]*&utm_source=LPDN&utm_medium=cpc&utm_term=Bricolage - DIY&countkey=FR&dbid=10894&adv=Advertise&brd=test&clt=ABACUS_MARKETING_SL&trm=Andre;success
105;2021-08-18 15:28:11;Advertise;ABACUS MARKETING SL;Natalia;1;Fr;"[{""modelid"":2,""modelname"":""cpl"",""payout"":""12""}]";Une Proposition;https://clk.tradedoubler.com/click?p=273317&a=3080682&g=25047914&url=https://www.graindemalice.fr/C-44318-nouveautes?utm_source=mojo&utm_medium=email_jeans;success
106;2021-08-18 15:30:50;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Une Proposition;https://clk.tradedoubler.com/click?p=273317&a=3080682&g=25047914&url=https://www.graindemalice.fr/C-44318-nouveautes?utm_source=mojo&utm_medium=email_jeans;success
107;2021-08-18 15:33:16;Advertise;ACAI;Andrea Navarro;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
108;2021-08-18 15:38:12;Advertise;ACAI;Andrea Navarro;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
109;2021-08-18 15:40:50;Advertise;ABACUS MARKETING SL;Natalia;1;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.5""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
110;2021-08-18 15:44:23;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
111;2021-08-18 15:49:30;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.5""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
112;2021-08-18 15:53:25;Advertise;ABACUS MARKETING SL;Natalia;1;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""tes""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
113;2021-08-18 15:59:30;Advertise;ACAI;Andrea Navarro;2;It;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
114;2021-08-19 06:28:47;Advertise;ACAI;Andrea Navarro;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
115;2021-08-19 06:33:38;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
116;2021-08-19 06:40:53;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
117;2021-08-19 06:43:01;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
118;2021-08-19 06:45:08;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
119;2021-08-19 06:46:55;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
120;2021-08-19 06:48:06;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
121;2021-08-19 06:50:38;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
122;2021-08-19 06:52:01;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
123;2021-08-19 06:57:03;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
124;2021-08-19 06:59:02;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
125;2021-08-19 07:00:00;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
126;2021-08-19 07:02:01;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
127;2021-08-19 07:03:47;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
128;2021-08-19 07:04:43;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
129;2021-08-19 07:05:38;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
130;2021-08-19 07:06:15;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
131;2021-08-19 07:06:51;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
132;2021-08-19 07:15:37;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
133;2021-08-19 07:19:39;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
134;2021-08-19 07:23:31;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
135;2021-08-19 07:33:26;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
136;2021-08-19 07:33:54;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
137;2021-08-19 07:39:49;Advertise;ABACUS MARKETING SL;Natalia;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Ma DestinÃ©;https://clk.tradedoubler.com/click?p=296727&a=2856194&g=25058138&epi=&url=https://www.assurer-son-animal.fr/?code=ASAKONTIKIM0921&utm_source=Affiliation&utm_medium=Animaux&utm_campaign=kontikimedia-ID2856194&cid=[td_guid];success
138;2021-08-19 10:51:55;Advertise;ACAI;Andrea Navarro;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Consommer Moins Cher;https://mailotrackb.com/?ref=LORKON20;error
139;2021-08-19 12:47:58;Decathlon;ADVENTURE CONSEIL;Ayoub;32;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.3""}]";On Gagne;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhae0cgidig0a&avuid=[UID];success
140;2021-08-19 13:10:01;Advertise;ADGO (Media) SL;Elisabetta;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.3""}]";Une Proposition;https://stats.digitalmetric.fr/stclk/81797cdb5334cfb98f980da87c9500a8/pLY/190443/1?;success
141;2021-08-19 14:24:20;Tapisserie aubusson;Adkomo;Fabien Dautin;5;Fr;"[{""modelid"":2,""modelname"":""cpl"",""payout"":""10""}]";L'Agenda des Ventes PrivÃ©es (COM);https://jaNAshUwep6R3fy-c.kmotrack.xyz?o=228&a=235&k=1071&s=24705&d=551&affclickid=&civ=[gender]&ville=&nom=[lname]&prenom=[fname]&tel=&cp=[zcode]&email=[email];success
142;2021-08-19 14:41:40;NocibÃ©;ADVERTISE ME;StÃ©phane Ziliani;3;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0,18""}]";Clic et Astuce;https://stats.digitalmetric.fr/stclk/b8f0ab3f470ed4dad347144a1b312489/pNi/190502/1?;success
143;2021-08-19 14:41:46;NocibÃ©;ADVERTISE ME;StÃ©phane Ziliani;3;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0,18""}]";Clic et Astuce;https://stats.digitalmetric.fr/stclk/b8f0ab3f470ed4dad347144a1b312489/pNi/190502/1?;success
144;2021-08-19 15:06:23;Advertise;ACAI;Nastya;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";L'Agenda des Ventes PrivÃ©es (COM);https://emas.uinterbox.com/tracking/clk?act=5270&gel=60595&pub=6429&org=42&ei1=isladelasofertas2008&url=https%3A%2F%2Fwink.uinterbox.com%2Ftracking%2Fclk%3Fact%3D9408%26gel%3D54304%26pub%3D7275%26org%3D1997;error
145;2021-08-19 15:45:18;Greenweez;ADVENTURE CONSEIL;Ayoub;8;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""""}]";La Pepite du Net;https://stats.digitalmetric.fr/stclk/0da2fd7ff4493b298595fb3d4a879c25/pJr/190275/1?;success
146;2021-08-20 07:11:23;Greenweez;ADVENTURE CONSEIL;Ayoub;8;Fr;"[{""modelid"":2,""modelname"":""cpl"",""payout"":""""}]";La Pepite du Net;http://kont.adcolink.com/tracking/?type=redirectemail&i=fib0bah0ecia0bdhbe0cgjhfb0a&adcampc&email=[email]&ctl=Greenweez&avuid=[UID];success
147;2021-08-20 07:18:33;Sodastream;ADVERTISE ME;StÃ©phane Ziliani;8;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""""}]";La Pepite du Net;https://stats.digitalmetric.fr/stclk/0da2fd7ff4493b298595fb3d4a879c25/pJr/190275/1?;success
148;2021-08-20 08:36:23;club carrefour;LoudingAds;Paulina;63;ES;"[{""modelid"":2,""modelname"":""cpl"",""payout"":""5""}]";Rebaja Del DÃ­a;http://loudingads.go2cloud.org/aff_c?offer_id=2764&aff_id=1065&source=rebajadeldia2308&file_id=4630&aff_sub=april;error
149;2021-08-20 09:13:53;Sodastream;ADVENTURE CONSEIL;Ayoub;8;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.32""}]";La Pepite du Net;http://kont.adcolink.com/tracking/?type=redirectemail&i=fdg0bah0ecia0bdgjh0cgjjgb0a&avuid=[UID];success
150;2021-08-20 09:30:31;Sodastream;ADVENTURE CONSEIL;Ayoub;8;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.32""}]";La Pepite du Net;http://kont.adcolink.com/tracking/?type=redirectemail&i=fdg0bah0ecia0bdgjh0cgjjgb0a&avuid=[UID];success
151;2021-08-20 09:58:27;Grandi Scuole;MOJO;Lorraine Seigner;33;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.18""}]";On Gagne;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhae0cgidig0a&avuid=[UID];success
152;2021-08-20 10:15:14;Advertise;ABACUS MARKETING SL;Natalia;2;;"[{""modelid"":null,""modelname"":"""",""payout"":""""}]";Club des Reducs;https://clk.tradedoubler.com/click?p=321105&a=3045419&g=25055822&url=https://httpslink.com/GAM-ICE001;error
153;2021-08-20 10:18:52;Neo-collagen;GA Media;Yoann;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""""}]";Shop Privileges;https://clk.tradedoubler.com/click?p=321105&a=3045419&g=25055822&url=https://httpslink.com/GAM-ICE001;error
154;2021-08-20 10:23:21;Neo-collagen;GA Media;Yoann;2;Fr;"[{""modelid"":null,""modelname"":"""",""payout"":""""}]";Club des Reducs;http://loudingads.go2cloud.org/aff_c?offer_id=2764&aff_id=1065&source=rebajadeldia2308&file_id=4630&aff_sub=april;error
155;2021-08-20 12:20:49;Siblu;TimeOne;Antoine Lefevre;30;Fr;"[{""modelid"":2,""modelname"":""cpl"",""payout"":""12""}]";Shoptapromo (EXPERTSENDER);https://d71pfx45rfmp9.cloudfront.net/clic.php?promoid=231009&progid=2685&partid=51794&to_shootid=18754&url=https%3A%2F%2Fachatmobilhome.siblu.fr%2Fpage%2Fdevenez-proprietaire-de-votre-mobil-home-des-149-euros-par-mois-timeone-2%3Faid%3DAFC-FR-01-210212-140305340460267e%26utm_medium%3Daffiliation%26utm_source%3Dtimeone%26utm_campaign%3Daffiliation-FR-VMH-emailing-149-euros_par_mois;error
156;2021-08-20 12:30:57;Decathlon;ADVENTURE CONSEIL;Alexandre GarÃ§onnet;32;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.3""}]";Consommer Moins Cher;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhaj0cgidii0a&avuid=[UID];success
157;2021-08-20 12:40:53;NocibÃ©;ADVERTISE ME;Marjorie Dien;3;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.18""}]";Shoptapromo (EXPERTSENDER);https://stats.digitalmetric.fr/stclk/768132ec8d0d58d48c2eea5155a04f71/pNi/190639/1?;success
158;2021-08-20 12:49:21;Advertise;ACAI;Nastya;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.2""}]";Oz Good Plan (Com);http://trk.loudedig.com/aff_c?offer_id=2973&aff_id=1065&source=offeralisES2308&file_id=4996;success
159;2021-08-20 12:50:53;Decathlon;ADVENTURE CONSEIL;Alexandre GarÃ§onnet;32;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.3""}]";Consommer Moins Cher;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhai0cgidif0a&avuid=[UID];success
160;2021-08-20 13:26:05;Decathlon;ADVENTURE CONSEIL;Alexandre GarÃ§onnet;32;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.3""}]";Panda Guide Conso;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhai0cgidif0a&avuid=[UID];success
161;2021-08-20 13:26:30;Decathlon;ADVENTURE CONSEIL;Ayoub;32;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.3""}]";Envies de Bons Plans;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhae0cgidig0a&avuid=[UID];success
162;2021-08-20 13:27:37;Decathlon;ADVENTURE CONSEIL;Alexandre GarÃ§onnet;32;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.3""}]";Alerte Discount;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhai0cgidif0a&avuid=[UID];success
163;2021-08-20 13:29:35;Nexity;Mailomedia;Gerson Lopes;30;Fr;"[{""modelid"":2,""modelname"":""cpl"",""payout"":""24""}]";Promo en Exclu;https://mailotrackb.com/?ref=NEXKON12;error
164;2021-08-20 13:30:29;Decathlon;ADVENTURE CONSEIL;Ayoub;32;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0,2""}]";Alerte Bons Plans;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhae0cgidig0a&avuid=[UID];success
165;2021-08-20 13:36:42;Nexity;Mailomedia;Gerson Lopes;30;Fr;"[{""modelid"":2,""modelname"":""cpl"",""payout"":""24""}]";Promo en Exclu;https://mailotrackb.com/?ref=NEXKON12;error
166;2021-08-20 13:38:11;Decathlon;ADVENTURE CONSEIL;Ayoub;32;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.3""}]";Les Bon Kdo;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhae0cgidig0a&avuid=[UID];success
167;2021-08-20 13:39:03;Decathlon;ADVENTURE CONSEIL;Ayoub;32;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0,20""}]";Ma Selection Shopping;http://kont.adcolink.com/tracking/?type=redirectemail&i=gjg0bah0fdfh0bdhae0cgidig0a&avuid=[UID];success
